order_id,kitchen_id,zone_id,rider_id,time_slot_id,order_date,order_value_ngn,delivery_distance_km,promised_delivery_min,actual_delivery_min,traffic_friction_score,food_temp_on_arrival_c,customer_rating,delivery_cost_ngn,order_profit_ngn
val_0,KIT-LK-001,val_17,val_5,val_27,1/1/2023,55547.35575,2.094055997,819,187,6.842536752,774.8113022,3.050304262,3990.88961,770.4481495
val_1,KIT-LK-001,val_7,val_57,val_8,1/1/2023,76539.46352,13.11581027,244,147,5.151269053,575.3443129,2.028476463,5093.97584,471.5006049
val_2,KIT-LK-001,val_4,val_39,val_1,1/1/2023,34520.26872,30.99596644,704,957,8.135521623,619.9105482,3.657402548,660.7857394,695.2495186
val_3,KIT-IK-001,val_18,val_32,val_19,1/1/2023,81371.46287,27.72096416,792,871,5.953025832,520.7546646,1.074567111,10246.71459,584.3193478
val_4,KIT-YB-001,val_13,val_0,val_28,1/1/2023,120484.913,4.033346739,900,881,5.118829003,613.951723,3.88035754,10387.32565,170.2888188
val_5,KIT-LK-001,val_15,val_35,val_40,1/1/2023,32681.11195,17.42011736,264,642,6.663953629,444.2290133,2.881339976,10482.08311,572.686717
val_6,KIT-LK-001,val_8,val_26,val_42,1/1/2023,83246.27091,21.23963703,728,857,5.606206182,776.411515,3.537256863,2354.925899,925.5834052
val_7,KIT-LK-001,val_8,val_35,val_21,1/2/2023,53519.16993,16.94538565,187,494,6.773906912,810.507248,1.628870555,11719.3015,345.2328701
val_8,KIT-IK-001,val_7,val_2,val_20,1/2/2023,112306.8757,24.47531897,445,162,8.223733187,517.1075737,3.873008266,8005.532785,493.8786357
val_9,KIT-YB-001,val_14,val_33,val_44,1/2/2023,105454.78,34.9047579,72,256,5.161766604,146.6280393,3.893104339,7196.809718,416.0846923
val_10,KIT-IK-001,val_4,val_34,val_37,1/2/2023,104969.0536,3.557299722,604,852,4.735191238,373.4979724,3.966362255,8722.735267,688.6283721
val_11,KIT-SU-001,val_19,val_17,val_10,1/2/2023,56981.56849,18.14058429,684,650,6.027989835,839.9386696,2.868799442,9120.277114,627.0175421
val_12,KIT-LK-001,val_3,val_3,val_32,1/2/2023,90092.25579,18.03052691,447,998,9.142782707,916.7490022,3.56202557,5110.303233,477.0568349
val_13,KIT-SU-001,val_9,val_58,val_34,1/2/2023,97837.23496,19.77078216,412,899,4.806840554,267.0530017,3.197020871,7090.285916,47.28013202
val_14,KIT-SU-001,val_6,val_42,val_11,1/3/2023,102281.6889,6.010467468,242,760,8.62974748,941.1026003,1.932319385,7104.699108,264.5363197
val_15,KIT-YB-001,val_12,val_37,val_46,1/3/2023,86500.82493,22.41485113,771,38,6.554465835,276.7132427,1.092091473,292.156226,314.5273894
val_16,KIT-LK-001,val_13,val_46,val_14,1/3/2023,130087.3097,1.743064106,911,185,1.111574319,918.8768427,2.654307353,315.254249,732.4911882
val_17,KIT-LK-001,val_18,val_40,val_26,1/3/2023,37695.3876,25.99109735,132,375,5.285823144,935.435526,4.259668199,5754.313407,396.2875447
val_18,KIT-YB-001,val_15,val_8,val_23,1/3/2023,8843.11501,23.27795149,276,35,2.894818852,504.8319088,2.288949757,6789.954994,378.3049585
val_19,KIT-SU-001,val_4,val_27,val_33,1/3/2023,144394.2664,11.69874366,603,936,2.353297241,950.5521542,3.996007347,8545.209508,445.8635816
val_20,KIT-SU-001,val_4,val_53,val_43,1/3/2023,9579.69213,34.61682977,366,228,3.109940977,549.2723659,3.55866203,9082.036016,431.9839472
val_21,KIT-SU-001,val_17,val_17,val_18,1/4/2023,135491.8705,29.04148772,13,383,7.411774124,378.890288,2.413056016,7112.213011,717.6709509
val_22,KIT-LK-001,val_9,val_58,val_18,1/4/2023,92036.59807,18.9758401,20,675,6.646444524,810.1595053,1.002302257,3555.846883,670.3085329
val_23,KIT-YB-001,val_1,val_3,val_36,1/4/2023,137851.6876,34.66976227,234,35,5.831678155,108.5221015,2.724024764,7507.85568,762.867909
val_24,KIT-SU-001,val_16,val_19,val_45,1/4/2023,84960.61262,29.0871544,968,636,5.457416864,216.6550683,2.571400814,3265.649218,207.4124715
val_25,KIT-YB-001,val_12,val_21,val_43,1/4/2023,123240.8045,5.001609349,610,101,4.502602052,213.2501055,1.554970554,9847.386947,741.4499011
val_26,KIT-YB-001,val_0,val_37,val_36,1/4/2023,108332.8944,20.76890903,255,903,8.979111058,622.0735286,4.274910564,5195.128891,296.1979642
